ResourceType     Locations    Name                       Zones    Restrictions
virtualMachines  eastus       Standard_B4ms              1,2,3    ['NotAvailableForSubscription, type: Location, locations: eastus', 'NotAvailableForSubscription, type: Zone, locations: eastus, zones: 1,2,3']
virtualMachines  eastus       Standard_B4pls_v2          1,2,3    None
virtualMachines  eastus       Standard_B4ps_v2           1,2,3    None
virtualMachines  eastus       Standard_B4s_v2            1,2,3    ['NotAvailableForSubscription, type: Location, locations: eastus', 'NotAvailableForSubscription, type: Zone, locations: eastus, zones: 1,2,3']
virtualMachines  eastus       Standard_B8als_v2          1,2,3    ['NotAvailableForSubscription, type: Location, locations: eastus', 'NotAvailableForSubscription, type: Zone, locations: eastus, zones: 1,2,3']
virtualMachines  eastus       Standard_B8as_v2           1,2,3    ['NotAvailableForSubscription, type: Location, locations: eastus', 'NotAvailableForSubscription, type: Zone, locations: eastus, zones: 1,2,3']
virtualMachines  eastus       Standard_B8ls_v2           1,2,3    ['NotAvailableForSubscription, type: Location, locations: eastus', 'NotAvailableForSubscription, type: Zone, locations: eastus, zones: 1,2,3']
virtualMachines  eastus       Standard_B8ms              1,2,3    ['NotAvailableForSubscription, type: Location, locations: eastus', 'NotAvailableForSubscription, type: Zone, locations: eastus, zones: 1,2,3']
virtualMachines  eastus       Standard_B8pls_v2          1,2,3    None
virtualMachines  eastus       Standard_B8ps_v2           1,2,3    None
virtualMachines  eastus       Standard_B8s_v2            1,2,3    ['NotAvailableForSubscription, type: Location, locations: eastus', 'NotAvailableForSubscription, type: Zone, locations: eastus, zones: 1,2,3']
virtualMachines  eastus       Standard_D1                2        ['NotAvailableForSubscription, type: Location, locations: eastus', 'NotAvailableForSubscription, type: Zone, locations: eastus, zones: 1,2,3']
virtualMachines  eastus       Standard_D11               2        ['NotAvailableForSubscription, type: Location, locations: eastus', 'NotAvailableForSubscription, type: Zone, locations: eastus, zones: 1,2,3']
virtualMachines  eastus       Standard_D11_v2            1,2,3    ['NotAvailableForSubscription, type: Location, locations: eastus', 'NotAvailableForSubscription, type: Zone, locations: eastus, zones: 1,2,3']
virtualMachines  eastus       Standard_D11_v2_Promo      1,2,3    ['NotAvailableForSubscription, type: Location, locations: eastus', 'NotAvailableForSubscription, type: Zone, locations: eastus, zones: 1,2,3']
virtualMachines  eastus       Standard_D12               2        ['NotAvailableForSubscription, type: Location, locations: eastus', 'NotAvailableForSubscription, type: Zone, locations: eastus, zones: 1,2,3']
virtualMachines  eastus       Standard_D12_v2            1,2,3    ['NotAvailableForSubscription, type: Location, locations: eastus', 'NotAvailableForSubscription, type: Zone, locations: eastus, zones: 1,2,3']
virtualMachines  eastus       Standard_D12_v2_Promo      1,2,3    ['NotAvailableForSubscription, type: Location, locations: eastus', 'NotAvailableForSubscription, type: Zone, locations: eastus, zones: 1,2,3']
virtualMachines  eastus       Standard_D13               2        ['NotAvailableForSubscription, type: Location, locations: eastus', 'NotAvailableForSubscription, type: Zone, locations: eastus, zones: 1,2,3']
virtualMachines  eastus       Standard_D13_v2            1,2,3    ['NotAvailableForSubscription, type: Location, locations: eastus', 'NotAvailableForSubscription, type: Zone, locations: eastus, zones: 1,2,3']
virtualMachines  eastus       Standard_D13_v2_Promo      1,2,3    ['NotAvailableForSubscription, type: Location, locations: eastus', 'NotAvailableForSubscription, type: Zone, locations: eastus, zones: 1,2,3']
virtualMachines  eastus       Standard_D14               2        ['NotAvailableForSubscription, type: Location, locations: eastus', 'NotAvailableForSubscription, type: Zone, locations: eastus, zones: 1,2,3']
virtualMachines  eastus       Standard_D14_v2            1,2,3    ['NotAvailableForSubscription, type: Location, locations: eastus', 'NotAvailableForSubscription, type: Zone, locations: eastus, zones: 1,2,3']
virtualMachines  eastus       Standard_D14_v2_Promo      1,2,3    ['NotAvailableForSubscription, type: Location, locations: eastus', 'NotAvailableForSubscription, type: Zone, locations: eastus, zones: 1,2,3']
virtualMachines  eastus       Standard_D15_v2            1,2,3    ['NotAvailableForSubscription, type: Location, locations: eastus', 'NotAvailableForSubscription, type: Zone, locations: eastus, zones: 1,2,3']
virtualMachines  eastus       Standard_D16ads_v5         1,2,3    ['NotAvailableForSubscription, type: Location, locations: eastus', 'NotAvailableForSubscription, type: Zone, locations: eastus, zones: 1,2,3']
virtualMachines  eastus       Standard_D16as_v4          1,2,3    ['NotAvailableForSubscription, type: Location, locations: eastus', 'NotAvailableForSubscription, type: Zone, locations: eastus, zones: 1,2,3']
virtualMachines  eastus       Standard_D16as_v5          1,2,3    ['NotAvailableForSubscription, type: Location, locations: eastus', 'NotAvailableForSubscription, type: Zone, locations: eastus, zones: 1,2,3']
virtualMachines  eastus       Standard_D16a_v4           1,2,3    ['NotAvailableForSubscription, type: Location, locations: eastus', 'NotAvailableForSubscription, type: Zone, locations: eastus, zones: 1,2,3']
virtualMachines  eastus       Standard_D16ds_v4          1,2,3    ['NotAvailableForSubscription, type: Location, locations: eastus', 'NotAvailableForSubscription, type: Zone, locations: eastus, zones: 1,2,3']
virtualMachines  eastus       Standard_D16ds_v5          1,2,3    ['NotAvailableForSubscription, type: Location, locations: eastus', 'NotAvailableForSubscription, type: Zone, locations: eastus, zones: 1,2,3']
virtualMachines  eastus       Standard_D16d_v4           1,2,3    ['NotAvailableForSubscription, type: Location, locations: eastus', 'NotAvailableForSubscription, type: Zone, locations: eastus, zones: 1,2,3']
virtualMachines  eastus       Standard_D16d_v5           1,2,3    ['NotAvailableForSubscription, type: Location, locations: eastus', 'NotAvailableForSubscription, type: Zone, locations: eastus, zones: 1,2,3']
virtualMachines  eastus       Standard_D16lds_v5         1,2,3    ['NotAvailableForSubscription, type: Location, locations: eastus', 'NotAvailableForSubscription, type: Zone, locations: eastus, zones: 1,2,3']
virtualMachines  eastus       Standard_D16ls_v5          1,2,3    ['NotAvailableForSubscription, type: Location, locations: eastus', 'NotAvailableForSubscription, type: Zone, locations: eastus, zones: 1,2,3']
virtualMachines  eastus       Standard_D16pds_v5         1,2,3    None
virtualMachines  eastus       Standard_D16plds_v5        1,2,3    None
virtualMachines  eastus       Standard_D16pls_v5         1,2,3    None
virtualMachines  eastus       Standard_D16ps_v5          1,2,3    None
